A,B,C,D,E,F,G,H,I,J
珠村牌坊华润万家漫广场三溪5号线君易商务中心精装,1580,珠村东桥大街自建房,整租,朝南,有电梯,,3室1厅80平米,天河东圃 珠村东横一路,https://gz.zu.anjuke.com/fangyuan/3615747582418946?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTYrjEOP1TQPjDYnWDQTED1PWDdP1ELPH9zPjD3rHEvTHDQrHTkTHDQrHTkTHD_nHTKnkDQP1cYP1mvPHmkn19zTHDKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjndP1mvnH9On1DzPjTOPkDvTEDQTywbrAEkujDQsyEvPj0VPjwhuiY3nyc1sH--mhRhmHK-PjPbPTDQrjc3n1NLPWmQrH0LnjDknH0vTHD3nW91PH0vPWDOPHD3PjTzPHmKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyN1uAuhuyFBsymYPj9VPAmLnidBuAmOsH9knW7WP1n3ujFhrEDKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_THR-nH93nHI6P16hnWb1PHN&lego_tid=e3dffebb-f448-4f71-bdf9-8021c738d2f9&psid=933d1722ba71b81c3a0a0441ab0ebb5f
首月0租金 地铁站旁 新房出租 交通方便 采光充足 环境优美,1000,宦溪村,整租,东南,5号线,,1室1厅35平米,天河东圃 宦溪北路,https://gz.zu.anjuke.com/fangyuan/3676572979814405?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKP1mYPH0OPWDkPWD1rj0KTHnvP1mdP1cOP1b3nHEYnjNKnHDOnjTKrHNknTDQsjDkTHnKnH0zPj0vPWNvnjn3nkDzTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW91P1E1nWbOnH93nHcQPWTKP9DKnED1nj-WnyNzriYLmyuWsHELPAmVmhcOPiYkuymYmWbdmHEkmycKnH9zrjnLPjn1nHnYrHTvnHm1PTDQrjc3n10Yn1nQn1c3njbknHD1TEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDzPjKBmvNzPidBmWNYsHwBryEVrH9YPBdBmH0YrHcLuAnvnjbKTHEKTEDkTHn_nHmdPakzPWbdTHDKUMR_UT7bnjP6nvEvnhE3myN3rH7b&lego_tid=240bce25-bb54-4b9d-9846-ba74927dc609&psid=933d1722ba71b81c3a0a0441ab0ebb5f
盈彩美居两房 园林小区 三溪地铁口 拎包入住 随时看房,4300,盈彩美居,整租,朝南,有电梯,5号线,2室2厅81平米,天河东圃 盈溪路,https://gz.zu.anjuke.com/fangyuan/3680917468224516?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKP1DYPHEOrjm1nWb3P1TKTHnvrjTOnH0YPW9znWEdnHmKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPWmdPWT1rjnKnk7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3n1EQrjDOPjbOn1bLnHckTHmKTHDKuWbduWbknWEVP1wBuiYYnjczsycvn1NVuHc1ujc3n10dPj0kTHD3nW91PjD3nHbdP1bQnjDQrjEKnH9zrjnYnH9QrHNdrjDzrHmvPTDKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKnjI6nWKWmyEVuWP-riYYmv7BsycdPANVnH0YnWn3nhEvrHEzTEDYTEDKnTD1sjDvPHE_nWmOPEDQTyOdUAkKPyD1PhFBrARhnjEQPjDvn9&lego_tid=07a20cad-f3e9-4cab-b54e-1742382d6942&psid=933d1722ba71b81c3a0a0441ab0ebb5f
兰亭盛荟精装修三房押一付一随时入住南向车位充足,6800,兰亭盛荟,整租,朝南,有电梯,5号线,3室2厅101平米,天河东圃 东圃明镜路,https://gz.zu.anjuke.com/fangyuan/3680051427058690?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKn19OPWEvnjbYrH9QnWNKTHnvrjTkPHDYnW0kPH9vrHTKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPWmdPWT1rjnKPT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjcLPHcYnHndrjbdPHc1n1c3THmKTHDKmH0duHcvuhEVmHc3niYYPHIWsy76PHDVrHnLuHbQnH0OPAnOTHD3nW0dnWEQn101rjEYP1mvP1cKnH9zP1NzPjD1P1nYPW0QnHNdPEDKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKujcdm1b1PH0VnjbduBYYujbvsyc3PAnVnhDzuWRbuHTQuymYTEDYTEDKnTD1sjDvPHE_nWmOPEDQTyOdUAkKuHnvnym1rj6buHT1uWuhnk&lego_tid=d25c9357-095f-4d96-b84c-2a2f5de01ef4&psid=933d1722ba71b81c3a0a0441ab0ebb5f
同和地铁大源黄庄，路边电梯公寓，采光通透，拎包入住,1500,大源黄庄南路小区,整租,朝南,有电梯,,1室1厅49平米,白云黄庄 大源黄庄南路,https://gz.zu.anjuke.com/fangyuan/3690993874477065?isauction=2&shangquan_id=35961&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPWcQnHbYPWDzPH9zPHbKTHnvrHTOrHn3P1EYP10kPWNKnHTQPjbKnHTznjTKnikQnTD1THDLnWELPWmdPWT1rjnKPE7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3njTdnHnvrH0OPHD1n1EYTHmKTHDKuHbLuHuBrADVPjNznBYYmHTvsy76PHTVrHE1rH66PvE3rHKhTHD3nW9knjNQn1mOnHmvnHDkP1nKnH9zrjTkPHD1P1TvP1NOP19zP9DKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKmhR6rH9dPymVuAE3nBYYny7bsyDkrjnVrHNkmHTLn1cdnywhTEDYTEDKnTD1sjDvPHb_n1NOPWDKnE78IyQ_TyR6rAnLmH0duywBuAnOnjc&lego_tid=bea9855f-dd82-41ad-a083-950a073251df&psid=933d1722ba71b81c3a0a0441ab0ebb5f
直租房 押一付一 有免租！精装一房 新房开租 可养宠,900,嘉禾下新村,整租,朝南,有电梯,2/14号线/3号线(北延段),1室1厅40平米,白云嘉禾望岗 下新村街,https://gz.zu.anjuke.com/fangyuan/2871558849864705?isauction=2&shangquan_id=12290&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPjmdnjTYP1bYnWcznWDKTHc3P1DdPH93Pjb3PWELnjNKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vPWNvnjn3nkDvTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9YnWcknjczPj9krjDYnj9KP9DKnEDLuHNkuyN1raY3nH7-sHELmHcVryNkPaYLrH76uWn3nWN3rH9KnH9zrjEznWTknWnQPHDdn1EkrEDQrjc3PjcznjTzn1TvP1m3rjbLTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT7WPAEzPvDdPiYLuHTksHwWmyEVmHNvriY3uyNkm1wWPy7Bm1bKTHEKTEDkTHn_nHmdrikQnWcOnTDQTyOdUAkKnhPWPhcvn1RhPHnQuyu6PT&lego_tid=c4d27a55-7e00-4cad-a569-8ee0c4c5abc9&psid=933d1722ba71b81c3a0a0441ab0ebb5f
东粤生态园 长兴创意园 无中间商赚差价 拎包入住 整租,998,豪泉商务大厦,整租,朝南,有电梯,2/14号线/3号线(北延段),1室0厅25平米,白云嘉禾望岗 望岗塘田街自编126-128号,https://gz.zu.anjuke.com/fangyuan/3069495058211844?isauction=2&shangquan_id=12290&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPjEzPHD1Pj9LrHDkPHnKTHnkPWbYrHNkPH9znHD3PjEKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vPWNvnjn3nkDLTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW01P19OPWnYPHEOn1NkPjTKP9DKnE7BPWIbuHPWriYQm17WsHwBP1NVmyRhnzY3rAFhuWcdPyDQmvNKnH9zP1nLrjbvPjmdPjNQPjDLPkDQrjcLn103rHmYPj03n1mQPWTQTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTD1nW6bm101nBYdPH0zsHE1uAmVry7WraY3uHuBmyn1nycQPWTKTHEKTEDkTHn_nHmdrikQnWcOnTDQTyOdUAkKPyF6nj-6rH9YuAPhnhmkPT&lego_tid=328dc732-5572-43df-9ac8-8e6bac31b160&psid=933d1722ba71b81c3a0a0441ab0ebb5f
可议价 紧邻地铁 精装房 面积大 家私电器齐全 随时可约看房,800,夏埔村,整租,朝西,13号线,,1室0厅25平米,增城新塘 水南大道东,https://gz.zu.anjuke.com/fangyuan/3477314740674573?isauction=2&shangquan_id=6526&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKP1mYPH0OPWDkPWD1rj0KTHnYP101nHELPjTvP1EdP1nKnHTznjTKrjcknTDQsjDkTHnKnH0zPj0vPWNvnjn3nkD3TNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW91P1E1nHTvrHcQnWcvnWEKP9DKnE76ujEvnHbQmBdhuAu-sHE3rADVmHP6uid-mH9vPvRbPAmLrj9KnH9zrjnLPjnQnWDdPHbvn1nOnkDQrjc3n10Yn1DznHD3nH9Qrj9OTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTD1rjI6njnzuaYOn1FbsHEdP1NVryPBnzYkmWNQuhE3uhDdryNKTHEKTEDkTHn_PWNzPakvPHcvTHDKUMR_UT7WrjTOuH-bmH7BmhNOPH0L&lego_tid=387a032d-932d-4575-9cb3-0b51fd8fa59e&psid=933d1722ba71b81c3a0a0441ab0ebb5f
3号线永泰地铁站，精修装超大单间南北通透民水民电商圈配套齐全,1580,学山塘街自建房,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 学山塘街27号,https://gz.zu.anjuke.com/fangyuan/3676721468810252?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTknWmQPWckrHbkP19LTED1PW0vP1cQPjm3rjDknWNzTHDQnWb3THbknjTKnikQnTD1THDLnWELPWmdPWT1rjnKrE7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3nW9dPH0kPHE3nWbLP1c3THmKTHDKP1-bmyNdnHDVuHn3naYYnWDYsH9kP1TVuW0vuhNzmH9kryw6THD3nW9zrjNdP1TvPjELPHT1n10KnH9zrjc3PHNLnjNOPjE1rHDvrTDKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKP10OmywbuHbVrHcduiYYrH03sH9znHbVnAEduAEYnHmOn1NkTEDYTEDKnTD1sjDvPHb_PW0Yn9DQTyOdUAkKm10dnHc1PANQuyD3uW9vuE&lego_tid=779adde9-925e-4978-8219-0d5dd4169350&psid=933d1722ba71b81c3a0a0441ab0ebb5f
江夏地铁站 新牌坊 东一街电梯精装一房一厅,1580,江夏东一街自建房,整租,朝南,有电梯,2号线,1室1厅40平米,白云江夏 江夏东一街,https://gz.zu.anjuke.com/fangyuan/3647133432503302?isauction=2&shangquan_id=21901&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKP1Ndrj9zPjTvPWc3nWEKTHnvPj0Qn1nYn1cdnjn1njcKrHbknTDOrHTkTHD_nHTKnkDQP1cYP1mvPHmkn191THDkTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9YnHmYPWDLPWN1rH9dnW9KP9DKnE7WmHRhnHb1mzYQPyu-sHE3uHTVrH9QmBYkPH0dPH6Bm1cknHTKnH9zrjEQPWEvnH91PW0Qn1b3PEDQrjc3PjDvPjmQrjDOrHnvP1m3TEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDYnWc1PH9vraYOnAN3sHEvmWEVrjFBnzYQmynLryEOuA7hn1EKTHEKTEDkTHn_nHmdrikznHbknEDQTyOdUAkKrHT3PA7WPyDzPyNknW6WPT&lego_tid=42235868-90e8-46b4-82b3-1ac79d9daf34&psid=933d1722ba71b81c3a0a0441ab0ebb5f
近3号线永泰地铁站，精装修超大阳台单间，南北通透民水民电,1500,学山塘街自建房,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 学山塘街27号,https://gz.zu.anjuke.com/fangyuan/3672969847643141?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTknWmQPWckrHbkP19LTED1PW0zrHmOrjELPWE1nHEQTHDQnWb3THbknjTKnikQnTD1THDLnWELPWmdPWT1rjnKnHDKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHN1njEOPW9OnWbzrEDvTEDQTHubuyFhnjNLsywbPWnVPjNYmiY3ujPbsy76mWEYPyu6PyuhnEDQrjc3nW9dPHnkPWDknHcvrjE3THD3nW9zrjNdn1TdrjbQrHcQrHcKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHbzn16BmWN3syuhmHcVPAEdnaYOn1nksHNLmH7-P1RbuhnLPEDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_TH7brj9vnhczuynYm16-PHb&lego_tid=9238bb58-ffa2-4d50-9330-57a1e75dfc75&psid=933d1722ba71b81c3a0a0441ab0ebb5f
体育中心地铁口  都市华庭大面积 高层景观开阔 适合工作室,16500,都市华庭(天河),整租,朝北,有电梯,1/3号线/3号线(北延段)/APM线,6室3厅316.5平米,天河天河北 天河北路358-378号,https://gz.zu.anjuke.com/fangyuan/3680983482246145?isauction=2&shangquan_id=2691&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKrHDOn19drHmYPjc1rjbKTHnvrjTOrjnYrjczPjmQPjNKnWDznjTKnWDznjTKnikQnTD1THDLnWELPWmdPWT1rjnKnHcKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjnvPjTkPWmYnHbYnWNzrTDvTEDQTH9kPjubnWndsHT3nWNVPj6Bmzd6ujbksHPhnANOnAmkPymOnkDQrjc3n1mYnjT3nHb3njcdnWDLTHD3nW91PWEknj9QP1c3P1DvrjTKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTH9Ynhu-ujEksyFbPjTVPAnYPzY3nH-hsycQn1P6PhD1uyE1uTDKPTDKTHTKnzkQPWNYsjcvrHDKnE78IyQ_TyNOP1c3rjNYPWKBuhDLrHD&lego_tid=842fed40-bd40-4c47-819f-b133a6a3ed3d&psid=933d1722ba71b81c3a0a0441ab0ebb5f
东圃次新楼 东尚明苑 精装两房 拎包入住 随时可看 可谈价,4500,东尚明苑,整租,朝南,有电梯,4/21号线,2室2厅72.7平米,天河东圃 旭景西街202号,https://gz.zu.anjuke.com/fangyuan/3607714119853068?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPjDdnjEvrjD1P10zrHNKTHnvnj0LnHEQnHb3PHnkPW9KnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPWmdPWT1rjnKnHnKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9kPWm3nWcLnj0YrHcQnWmLPEDvTEDQTHIbnvmkmynLsHEvrjcVPjwBmzY3uymzsHndmvcvnhcOrH76nEDQrjTvPW9znW0krjnLnW93rHmkTHD3njmvrjczP1T3nHm1nWbLnW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHmzmvm1nhE3syDvnAcVPADYnzY3PjczsH9YnWDYrHbYPH-WmEDKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_TH01nW-hujEdn1NOnvDkPAm&lego_tid=62cf32d8-a60b-4a43-8422-8421499459ca&psid=933d1722ba71b81c3a0a0441ab0ebb5f
天河万科云城附近，全新出租，民用水电，楼下吃喝，拎包即可入住,1480,凌塘村,整租,南北,有电梯,21号线,1室1厅35平米,天河天河智慧城 上街北路46号,https://gz.zu.anjuke.com/fangyuan/3122320147440649?isauction=2&shangquan_id=37374&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKrHD1PjTzrj9vn1NOn1cKTHnQnWc1nWTQPj0YPjTvPjbKnHndPWbKnHTOnjTKnikQnTD1THDLnWELPWmdPWT1rjnKnHEKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjn3njTkPHm1PjDOPHEdP9DvTEDQTyu6myRWnj-bsHPbPWNVPjbznBY3nHcksHb3PWN3PAF6rjIBPkDQrjc3n19knjTdP1cznW0QP1EYTHD3nW91rjTknjNLnjD1nj9YnHmKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHuWmhwhmyNvsyn1rH9VPjmkradBuyDksyczuWT3m19vPHRhuTDKPTDKTHTKnzkQPWNYsjnLn10YTHDKUMR_UTDkPAN3rHT3PHmzmWTYmHbY&lego_tid=6cbdfae6-c398-4608-bea0-b2f08c8655fd&psid=933d1722ba71b81c3a0a0441ab0ebb5f
4号线急租车陂地铁万胜围琶洲联合社区珠江新城拎包入住,1800,车陂龙口大街自建房,整租,朝西,有电梯,4/5/21号线,1室1厅40平米,天河车陂 车陂龙口大街8号,https://gz.zu.anjuke.com/fangyuan/3627126830997515?isauction=2&shangquan_id=5910&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTYP1EYPWbvnHN3njDOTED1PWcLnHcvrjnkrHbLPHDdTHDQPHTkTHDQPHTkTHD_nHTKnkDQP1cYP1mvPHmkn191THDdTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zrHm3P1TYPj03PWDLPWTKP9DKnE7bn1cdP1n1raYdPWRbsHE1uHDVmWmOuiY3rjmOmhczPhnOPAcKnH9zrjcOPW9LnjNzn1ndnHTYnTDQrjc3nWbvrj0kPHTvPH0LrHckTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDdnWbYnAc3PidbuWbvsHEOmHbVmH66PaYYP1EkmycvPhcQmH0KTHEKTEDkTHn_nHmdPakdrHDkTHDKUMR_UTD3PjD1P1cznhnvuhm1njR-&lego_tid=52940b85-df96-49a9-a8a4-4740ab66b1a7&psid=933d1722ba71b81c3a0a0441ab0ebb5f
