A,B,C,D,E,F,G,H,I,J
金地天河峯睿 精装修四房 新风系统 中央空调 高层望花园,7200,金地天河峯睿,整租,朝南,有电梯,21号线,4室2厅115.3平米,天河棠东 健明五路,https://gz.zu.anjuke.com/fangyuan/3661544167283718?isauction=2&shangquan_id=16018&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKrjmQPjN1P1Dkrj9OPjnKTHnvPWDdPjEQPW0zrjnLnH9KnHD1rHbKrHDknTDQsjDkTHnKnH0zPj0vPWNvnjn3nkDQP97AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3n1D3rjmYP1DOPHcLrHnvTHmKTHDKnWDQPHK6nvDVPWN1uaYYuWPBsyF-rH0VPjP-rHTQnH--PymvTHD3nW91nH93PWmznWbYrHnLPWDKnH9zrjnQrj9vPWcdnjE3rH9dP9DKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKuAwBrHDvuyDVrH91nBYYujFbsy7-nWmVuHPhnyNkuWKbuHDYTEDYTEDKnTD1sjDvPHE_nHmknH9KnE78IyQ_TycLPymLn1T1mWEYuHcOnHT&lego_tid=ddb916ea-9832-4d2d-ae26-e3f1e0f0de14&psid=933d1722ba71b81c3a0a0441ab0ebb5f
近3号线永泰地铁站，采光充足超大单间家私家电齐全周边商圈繁华,1560,元下田村,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 元下田三路,https://gz.zu.anjuke.com/fangyuan/3672996048495625?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTknWmQPWckrHbkP19LTED1PW0zrHbvnjE3PjbdPWcdTHDQnWb3THbknjTKnikQnTD1THDLnWELPWmdPWT1rjnKnH0KwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHEQPHm3nHbOPj0dn9DvTEDQTywBuhnLnjmksHKBnhNVPANduBY3nHmvsHnznHEvnADLrjKWnTDQrjc3nW9dPjDdP1mQPWbkPWcYTHD3nW9zrjNYnHNLPjTLnHbQnjEKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTH--uhE1nhmYsHwBPHnVPAFWmBdBPWNvsHbOnhDvm1bkuW6WmEDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_THFWm1n1uH7-nyF-nhR6mHD&lego_tid=9efd32f4-4b53-4bcb-b656-992a6c90f8ca&psid=933d1722ba71b81c3a0a0441ab0ebb5f
珠村牌坊 电梯高层单间 全视野 一览众山小！鸿德广场羽泰广场,980,珠村南门社新街四巷-十五巷自建房,整租,朝南,有电梯,,1室0厅45平米,天河东圃 珠村南门社新街八巷10号,https://gz.zu.anjuke.com/fangyuan/3623005747667979?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPHmdPj0dPHDLn1N1nWDKTHnvnWnknjNLPj0vPW0OP1bKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPWmdPWT1rjnKnH9KwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjEzrj9dn1nkn19OPjTQPkDvTEDQTHEQPjKbPHD3sycOm10VPAR-raY3uyDOsHDkn1nzuj0dPAF6PEDQrjc3Pjc3rjNYPWNYPjNQP1D1THD3nW9YnW93PHEvnWT3rHnQrjEKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyN3njwhnHbvsHc1Pj9VPA7WPaYOmHKWsH9YnjEQnyNkrjuBPEDKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_Ty7-nH0dnyFbuhn1PhFbPAm&lego_tid=e804f196-2348-4ac4-9a0c-840411e086b5&psid=933d1722ba71b81c3a0a0441ab0ebb5f
永泰白云大道北双地铁站，民水民电领包入住商圈配套齐全南北通透,1480,福泰轩,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 福泰东路1-1号,https://gz.zu.anjuke.com/fangyuan/3675199708356612?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTknWmQPWckrHbkP19LTED1PW0dnHbOP1T3n1NvPWDzTHDQnWb3THbknjTKnikQnTD1THDLnWELPWmdPWT1rjnKnHbKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHcvPj0LPHDLPWDOn9DvTEDQTH9LrjNduWFWsHEdn1TVPAP-PBYOnHcYsycvmWwWnhDYrHKBPTDQrjc3nW9dnWmYrjNOnjcOPHTYTHD3nW9zrjNzPWE3n1n3rHmYPj9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTymYuWN1mWNQsH9knjTVPjF-PadBnjDksH-brjNYPWT1n1KBnTDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_THb1nhR-PW91nAu6PHIWmhN&lego_tid=f4f53b51-8000-42e4-b010-9d85460330b0&psid=933d1722ba71b81c3a0a0441ab0ebb5f
三号线地铁100米 精装电梯一房一厅大阳台 商圈繁华0中芥,1480,上胜创意园,整租,南北,有电梯,2/14号线/3号线(北延段),1室1厅50平米,白云嘉禾望岗 上胜东街88号,https://gz.zu.anjuke.com/fangyuan/3681064947866636?isauction=2&shangquan_id=12290&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKP1TOnjcYPjN3P10LPWEKTHnvrjDkPWEOPj03PWmvn1mKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vPWNvnjn3nkDznT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjcLrH01nWDdrHDYn1mkrjndTHmKTHDKrHEdPhPhPhnVP1NLuaYYmHI-sH91mW9Vuj9knH7-uHIbP1TkTHD3nW0OP1nznHNOrH9zPjmOnHcKnH9zP1bLn1cQPWDLPjnOPHnOP9DKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKm1EvrjcvPvEVPWbOPzYYPvFWsHbzuWcVnAPBrycLPvnzrH6bTEDYTEDKnTD1sjDvPHb_nHczrHTKnE78IyQ_TH-hPHbzuWcYrH-huy76Pvn&lego_tid=c468267d-6997-47bc-92f2-0cb9b77c298d&psid=933d1722ba71b81c3a0a0441ab0ebb5f
永泰地铁站200M，不走巷子大马路房采光充足，原木风超大单间,1550,元下田小区,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 元下田325号,https://gz.zu.anjuke.com/fangyuan/3672957501692940?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTknWmQPWckrHbkP19LTED1PW0zrHNLPHTQPWbzrHEkTHDQnWb3THbknjTKnikQnTD1THDLnWELPWmdPWT1rjnKnWDKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjnLnjmOPHc1rH9zP1EdP9DvTEDQTH7Wuj-WuAwBsyDdujDVPjR-PidBmvNvsHE1mhEYnAPhPjbknTDQrjc3n10kPWbdn1mdPWEknHbzTHD3nW91P1TvrHN1Pj93PW0kP1cKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTy7BnANvPH--sHDOPAcVPAn1niYOuADOsHK-PAwhm1wbnhuWu9DKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_TyNYmyDQuAw-uHPbuADvnHE&lego_tid=ab0e659e-194b-4c31-9da9-0e4dfc4d2fcf&psid=933d1722ba71b81c3a0a0441ab0ebb5f
双地铁可直达珠江新城体育西路，家私家电，不走巷子，民水民电,1460,永康路磨刀南街小区,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 磨刀南街89,https://gz.zu.anjuke.com/fangyuan/3593674890978312?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHT1nWDYPHn3n1DLnHcYTED1PHb1PW0YrjbkrH03n1DzTHDQnWb3THbknjTKnikQnTD1THDLnWELPWmdPWT1rjnKnWcKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjDzP1D1njTznWmYnHmvPEDvTEDQTHE1PAnYnyNzsywWryDVPjKhPBdBm1EzsHF-mHD1n1nQm1wWn9DQrjc3nHcLnHnknHDkP1D1rjNvTHD3nW9QnW0Qn1TkP10QPHN1nW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHb1uyDYPj9ksHNzmHcVPjDznzYOuhu-sH0YnjIbnAmOPWbOmEDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_THbYujuBmWbvnANQnAmkujm&lego_tid=93ea4480-52a2-4123-9ffe-7407d0f9699a&psid=933d1722ba71b81c3a0a0441ab0ebb5f
兰亭盛荟  精装修全屋定制 爱马仕橙 真皮沙发 横厅大开间,6800,兰亭盛荟,整租,朝南,有电梯,5号线,3室2厅105平米,天河东圃 东圃明镜路,https://gz.zu.anjuke.com/fangyuan/3675560842518542?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPHnOPW0OPW0LnjbOP10KTHnvP1NdPWT3PjcdnH9dPjcKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPWmdPWT1rjnKnWnKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zP1mYn1N1njcOrj9LPHbkPTDvTEDQTHIWuW9krjRhsHnOPW9VPAuWmzdBnj9vsHwhnvuBn176mWIhPTDQrjcLPWE1PHnQPWDdrjN3PW9OTHD3nW0vPjndn1DdrHE3rj0QPW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHTvmyE3n19LsyDYPWbVPjIBuidBPA7WsHNznvP-mhmLujKhPkDKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_THE3nAn3PWIhuhczuHT3mWn&lego_tid=06ad8387-a469-47be-b4ac-523cebf7d0f7&psid=933d1722ba71b81c3a0a0441ab0ebb5f
双地铁可直达珠江新城体育西路，民水民电，不走巷子，家私家电,1480,元下田小区,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 元下田325号,https://gz.zu.anjuke.com/fangyuan/3593652018617345?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHT1nWDYPHn3n1DLnHcYTED1PHb1PWNznjD3PWDLn1EdTHDQnWb3THbknjTKnikQnTD1THDLnWELPWmdPWT1rjnKnWEKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjDzP1cYnjELnHcYnj0kPEDvTEDQTHnkmWFhPW--sHFBPjDVPAmvuBd6nyEQsHcLujc3uHnOuAwWPkDQrjc3nHcLnWEkPHcOrHmdnjNvTHD3nW9QnW0zPjTdnHnQP1bvPj9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHDzuWT1P1ELsywWPADVPjKbPiY3uhcvsH--uWmkP1FbrAFWrEDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_THKBrAE1PWK-nW9OrAFBrym&lego_tid=12f03747-dc4a-40d5-8fb6-9ef6072d8bc9&psid=933d1722ba71b81c3a0a0441ab0ebb5f
6 号线高塘石近地铁 精装大单间 空气清新 拎包入住,890,柯木塱塘石西一街小区,整租,南北,6号线,,1室0厅28平米,天河柯木塱 塘石西一街15-7号,https://gz.zu.anjuke.com/fangyuan/3685332807704589?isauction=2&shangquan_id=12993&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPWczrjnYrj9LPjcvP1cKTHnvrjN1n1c3nj0LnjEdrjbKrHbknTDLrHTkTHD_nHTKnkDQP1cYP1mvPHmkn19YTHcdTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zrHD3rjNvPWE1PWcYrH0KP9DKnEDYnHwbmhmvuBdBrjmvsHEQuyDVrHI6PBYLryPWmHcOnAc1PjmKnH9zrjcOnH93PH0dnWEdnHTLPTDQrjc3nWbQrj9dP1mOnWNzrjmdTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT76P19OrHDvraY3PvFWsHwWnWNVmycdPiYQm16-uHwBm1-WnhDKTHEKTEDkTHn_nHmdPakQnWbOnkDQTyOdUAkKPvmLuj0OPhmkuynkuWnOPT&lego_tid=a7899168-87bc-4c25-ab55-1c8ee4bc9c2a&psid=933d1722ba71b81c3a0a0441ab0ebb5f
近永泰地铁站100M，不走巷子采光充足，温馨超大单间领包入住,1600,永干村,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云白云大道北 元下田三路,https://gz.zu.anjuke.com/fangyuan/3673008956268552?isauction=2&shangquan_id=11568&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTknWmQPWckrHbkP19LTED1PW01njT3rHNvnWm3PHNzTHDkPjTkTH91njTKnikQnTD1THDLnWELPWmdPWT1rjEKnWmKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHnLP1mknHbznHTzP9DvTEDQTycQmWRWPWKWsyNkuADVPAmdraYOP1b1sHcvrAwhrymOmhDLuEDQrjc3nW9dn10LPWNznWmkrjmvTHD3nW9zrjN1P10vnW0krHNkPjDKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyPWPHNknvE3sHbdmvmVPjKbPaY3uAmLsyP-njnkuhwBPjNQnkDKPTDKTHTKnzkQPWNOsjDQPHm3THDKUMR_UTDzrAn1rj-6PWFbmyFbnvm3&lego_tid=cc5503d8-95cf-40d4-8df7-ce030fdb4513&psid=933d1722ba71b81c3a0a0441ab0ebb5f
广州14号线新和站精装修单间出租，交通便利，周边生活设施齐全,900,钟落潭新和村,整租,朝南,有电梯,14号线/14号线(知识城线),1室0厅30平米,白云九佛 钟落潭新村㘵丁街33号,https://gz.zu.anjuke.com/fangyuan/3688545967610882?isauction=2&shangquan_id=6431&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKrH0OrH93PjckrHDLrHcKTHnvrj9dPjNOPW0vnHT3rjcKrHbknTDOrHTkTHD_nHTKnkDQP1cYP1mvPHmkn19YTHcLTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW91n1NOnW9Onjb3nHN3nj9KP9DKnEDLPWDznvR6niYLrjc1sHELPvcVrAu6PzdbP1R6nyEduyNknWbKnH9zrjn1PHbzrjbOn101PjmdPkDQrjc3n1ndrHc3rH0zP1nkn1mOTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT7WmyEzn1n3mid-PH7hsHw-PjnVmhuhridhnjEkP1ELPH0QPjmKTHEKTEDkTHn_nHmdrikvPjnQTHDKUMR_UTDQnvN1PvcQnj6-rH7-PvnO&lego_tid=cad2338a-e51f-4e43-bff9-f04074757146&psid=933d1722ba71b81c3a0a0441ab0ebb5f
六号线柯木塱 精装阳台单间  空气清新 拎包入住,890,柯木塱背坪老屋街自建房,整租,南北,6号线,,1室0厅30平米,天河柯木塱 柯木塱背坪老屋街19号,https://gz.zu.anjuke.com/fangyuan/3679554049090573?isauction=2&shangquan_id=12993&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKPWczrjnYrj9LPjcvP1cKTHnvP1bdPHEkPjbkrHTdP1nKrHbknTDLrHTkTHD_nHTKnkDQP1cYP1mvPHmkn19YTHc3TNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zrHckP1DOPWmOPH0dPWbKP9DKnEDLPWRhPjczriYLmW01sHw-PH9VrHTLmzY1n1m3njTQrHRWPj9KnH9zrjcOnWTLnWTdnj9Yn1mdnTDQrjc3nWbznj0znjcdPWmdPHnvTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDOnj--mhE1PBY1m1EdsHwhujnVrH9kuiY3uAD3nyN1PWw-nHDKTHEKTEDkTHn_nHmdPakQnWbOnkDQTyOdUAkKnWEkP1cdmhNdnAn1mHc3PT&lego_tid=909ebd36-3c45-4fd3-980e-8da81e364e11&psid=933d1722ba71b81c3a0a0441ab0ebb5f
近网易，送免租7天！押一付一！民用水电！小区环境！近地铁！,1900,趣炫科创园,整租,朝南,有电梯,6号线,1室1厅50平米,天河天河智慧城 思成路60号,https://gz.zu.anjuke.com/fangyuan/3687094837321732?isauction=2&shangquan_id=37374&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOn1KbPj6WPBYvPhm1sHwWPvEVrjwhPidBPvRbnWI6uhNQujTKnHTznWNkPHnLn1mznWEYTED1PW9LnjbYrjnLn1cQP1nzTHD1PHmOTHDkrHTkTHD_nHTKnkDQP1cYP1mvPHmkn19YTHcOTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zP1Tzn1NkrHbQnWnLnHcKP9DKnED1mH7buHK-PzYduWw6sHw6mHNVrH9YnaYQrH-bujbvnAmvrjcKnH9zrjcLnjc1PHDOnHEQnjm3rEDQrjc3nW0knWndnHmznjnknj9kTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDzuWI6mHmkPiY1uH0ksHE3uHbVrAD1rid-mHuWuhDvPhnOuhNKTHEKTEDkTHn_nHmdPak1P1nLPTDQTyOdUAkKuyczrAnOrH0vrH6-myF-PE&lego_tid=2f7aa605-3e70-48e9-8a39-ea6cfa66c9fe&psid=933d1722ba71b81c3a0a0441ab0ebb5f
